"user_id,age,gender,city,profession,personality_type,risk_appetite,relationship_status"
"1,27,M,Bangalore,Software Engineer,Analytical,High,Single"
"2,33,F,Mumbai,Marketing Manager,Expressive,Medium,Married"
"3,41,M,Delhi,Operations Lead,Practical,Low,Married"
"4,24,F,Pune,Student,Dreamer,Medium,Single"
"5,36,F,Hyderabad,Product Manager,Analytical,High,In a relationship"
"6,29,M,Chennai,Data Analyst,Practical,Medium,Single"
"7,45,F,Bangalore,Teacher,Nurturer,Low,Married"
"8,31,M,Gurugram,Sales Executive,Expressive,High,In a relationship"
"9,38,F,Noida,HR Manager,Nurturer,Low,Married"
"10,26,M,Remote,Freelancer,Dreamer,High,Single"
